
ImageName, app1, app2, Advantra, MOST, EnsembleNeuronTracerBasic, meanshift, TreMap, MST_Tracing, EnsembleNeuronTracerV2n, spanningtree, axis_analyzer, Rayshooting, smartTracing, simple, EnsembleNeuronTracerV2s, 
E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\477_412_30_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\483_432_125_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\501_518_104_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\528_448_119_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\528_518_154_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\538_390_125_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\605_526_127_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\611_398_128_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\643_654_187_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\656_514_154_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\656_526_141_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\670_526_186_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\784_527_141_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\784_530_118_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\912_525_119_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\912_537_107_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\170_300_177_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\219_312_175_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\284_221_139_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\298_349_165_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\298_408_252_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\298_464_281_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\318_349_116_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_124_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_168_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_34_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_55_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_62_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_80_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\32_32_88_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\345_408_202_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\347_280_203_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\347_284_194_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\364_349_100_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\426_298_228_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\426_331_220_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\426_351_166_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\426_368_215_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\426_426_259_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\427_426_226_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\554_308_223_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\554_333_220_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\682_310_172_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\682_310_221_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\709_182_261_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\737_310_231_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\749_310_285_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\804_310_201_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\808_182_208_gold.tiff, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\810_262_189_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\810_310_176_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\837_224_216_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\876_96_155_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\886_149_132_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\898_277_155_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\936_201_177_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\938_242_126_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\938_277_188_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
E:\result\0664_seg.v3dpbd\gold\965_191_166_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1005_755_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1005_777_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1006_1309_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1008_905_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1008_930_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1010_421_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1011_1063_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1012_1408_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1016_1379_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1038_648_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1057_1522_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1058_1437_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\106_841_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1074_1091_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1074_1140_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1082_1565_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1083_1437_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1086_1531_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1087_1809_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1087_1817_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1087_1844_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1088_1303_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1092_469_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1099_550_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1099_567_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1099_634_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1100_1716_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1100_762_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1101_439_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1101_567_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1111_1716_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1118_1043_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1122_1972_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1122_1975_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1125_935_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1127_1175_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1133_1588_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1133_762_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1134_1063_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1134_1332_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1136_901_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1136_935_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1138_452_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1139_1049_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1147_1844_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1168_1047_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1171_1803_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1176_1931_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1181_965_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1185_1460_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1202_1043_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1202_1093_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1204_1613_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1208_1654_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1210_1526_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1212_1221_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1214_1485_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1215_1803_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1216_1357_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1224_919_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1227_555_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1239_1726_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1243_1854_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1248_427_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1249_1262_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1250_1935_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1251_1726_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1255_1134_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1258_2023_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1261_1597_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1262_1008_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1264_906_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1264_910_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1268_1034_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1278_906_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1280_778_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1283_906_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1296_987_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1304_1390_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1304_1984_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1306_1262_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1309_599_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1309_650_27_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1309_979_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
E:\result\080926a.tif.v3dpbd\gold\1311_449_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\080926a.tif.v3dpbd\gold\1311_483_27_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
