name        y_n    ratio(x/y)    overlap_level    count    grey_std
/home/lxf/Downloads/signal_area/11/marker_all_324.marker_color.txt     0   0.714286   0.0777778   102   16.5131
/home/lxf/Downloads/signal_area/11/marker_all_44.marker_color.txt     1   0.888889   0.375   82   20.7751
/home/lxf/Downloads/signal_area/11/marker_all_73.marker_color.txt     1   0.8   0.26875   82   11.4093
/home/lxf/Downloads/signal_area/11/marker_all_96.marker_color.txt     1   0.888889   0.5625   124   24.9744
/home/lxf/Downloads/signal_area/12/marker_all_107.marker_color.txt     1   0.736842   0.342105   244   11.8375
/home/lxf/Downloads/signal_area/12/marker_all_151.marker_color.txt     1   0.714286   0.357143   182   8.30449
/home/lxf/Downloads/signal_area/12/marker_all_252.marker_color.txt     1   0.8   0.233333   84   2.24142
/home/lxf/Downloads/signal_area/12/marker_all_258.marker_color.txt     1   0.888889   0.222222   181   8.99292
/home/lxf/Downloads/signal_area/12/marker_all_274.marker_color.txt     1   0.833333   0.35   84   3.58761
/home/lxf/Downloads/signal_area/12/marker_all_275.marker_color.txt     1   0.777778   0.220238   143   8.95882
/home/lxf/Downloads/signal_area/12/marker_all_276.marker_color.txt     1   0.833333   0.508333   360   15.8228
/home/lxf/Downloads/signal_area/12/marker_all_279.marker_color.txt     1   0.7   0.571429   80   10.5242
/home/lxf/Downloads/signal_area/12/marker_all_293.marker_color.txt     1   0.846154   0.433566   124   3.70676
/home/lxf/Downloads/signal_area/12/marker_all_96.marker_color.txt     1   0.705882   0.316176   200   11.1607
/home/lxf/Downloads/signal_area/13/marker_all_122.marker_color.txt     0   0.736842   0.139098   127   11.9145
/home/lxf/Downloads/signal_area/13/marker_all_162.marker_color.txt     0   0.8125   0.182692   174   14.1232
/home/lxf/Downloads/signal_area/13/marker_all_254.marker_color.txt     1   0.714286   0.25   99   15.1144
/home/lxf/Downloads/signal_area/13/marker_all_32.marker_color.txt     1   0.823529   0.17437   100   0
/home/lxf/Downloads/signal_area/13/marker_all_76.marker_color.txt     1   0.615385   0.394231   98   14.6956
/home/lxf/Downloads/signal_area/14/marker_all_129.marker_color.txt     1   0.833333   0.395833   120   8.69109
/home/lxf/Downloads/signal_area/14/marker_all_166.marker_color.txt     1   0.6875   0.252841   90   6.50781
/home/lxf/Downloads/signal_area/14/marker_all_249.marker_color.txt     0   0.777778   0.420635   92   5.94106
/home/lxf/Downloads/signal_area/14/marker_all_257.marker_color.txt     1   0.823529   0.308824   147   7.16677
/home/lxf/Downloads/signal_area/14/marker_all_259.marker_color.txt     1   0.8   0.425   105   11.206
/home/lxf/Downloads/signal_area/14/marker_all_285.marker_color.txt     1   0.611111   0.330808   179   6.51664
/home/lxf/Downloads/signal_area/14/marker_all_291.marker_color.txt     1   1   0.691358   147   18.3987
/home/lxf/Downloads/signal_area/14/marker_all_309.marker_color.txt     1   1   0.322314   80   8.37582
/home/lxf/Downloads/signal_area/2/marker14.marker_color.txt     1   1   0.180556   13   5.00769
/home/lxf/Downloads/signal_area/2/marker21.marker_color.txt     1   0.6   0.466667   76   11.4047
/home/lxf/Downloads/signal_area/2/marker25.marker_color.txt     1   0.4   0.094   338   8.6198
/home/lxf/Downloads/signal_area/2/marker41.marker_color.txt     0   0.454545   0.118182   66   11.9142
/home/lxf/Downloads/signal_area/2/marker42.marker_color.txt     0   0.952381   0.0285714   68   11.441
/home/lxf/Downloads/signal_area/2/marker6.marker_color.txt     1   0.333333   0.407407   35   13.8545
/home/lxf/Downloads/signal_area/2/marker71.marker_color.txt     1   0.8   0.0796875   59   5.66615
/home/lxf/Downloads/signal_area/2/marker74.marker_color.txt     1   0.785714   0.0844156   30   8.50936
/home/lxf/Downloads/signal_area/2/marker75.marker_color.txt     1   0.411765   0.105042   82   11.4401
/home/lxf/Downloads/signal_area/2/marker80.marker_color.txt     1   0.533333   0.075   19   6.11775
/home/lxf/Downloads/signal_area/2/marker81.marker_color.txt     1   0.875   0.232143   26   5.40313
/home/lxf/Downloads/signal_area/2/marker82.marker_color.txt     1   0.4   0.5   10   6.99524
/home/lxf/Downloads/signal_area/2/marker_all_398.marker_color.txt     1   0.769231   0.165385   85   8.65763
/home/lxf/Downloads/signal_area/3/marker110.marker_color.txt     1   0.857143   0.130952   13   3.85141
/home/lxf/Downloads/signal_area/3/marker112.marker_color.txt     1   0.727273   0.176136   31   16.0681
/home/lxf/Downloads/signal_area/3/marker12.marker_color.txt     1   0.5   0.131944   19   7.95969
/home/lxf/Downloads/signal_area/3/marker14.marker_color.txt     0   0.636364   0.0616883   53   14.6772
/home/lxf/Downloads/signal_area/3/marker150.marker_color.txt     0   0.888889   0.104167   15   5.76277
/home/lxf/Downloads/signal_area/3/marker151.marker_color.txt     1   0.285714   0.205357   30   7.74901
/home/lxf/Downloads/signal_area/3/marker152.marker_color.txt     1   0.666667   0.25   13   6.58475
/home/lxf/Downloads/signal_area/3/marker156.marker_color.txt     1   0.285714   0.178571   22   8.14586
/home/lxf/Downloads/signal_area/3/marker158.marker_color.txt     1   0.25   0.375   3   5.2915
/home/lxf/Downloads/signal_area/3/marker159.marker_color.txt     0   0.285714   0.142857   24   8.2144
/home/lxf/Downloads/signal_area/3/marker171.marker_color.txt     1   0.75   0.0648148   22   7.3386
/home/lxf/Downloads/signal_area/3/marker172.marker_color.txt     1   1   0.163265   35   9.23666
/home/lxf/Downloads/signal_area/3/marker173.marker_color.txt     0   1   0.163265   37   5.78143
/home/lxf/Downloads/signal_area/3/marker_all_352.marker_color.txt     1   0.714286   0.253571   80   2.87038
/home/lxf/Downloads/signal_area/3/marker_all_61.marker_color.txt     1   0.722222   0.0790598   118   11.5358
/home/lxf/Downloads/signal_area/4/marker_all_0.marker_color.txt     1   0.923077   0.150641   121   8.82621
/home/lxf/Downloads/signal_area/4/marker_all_193.marker_color.txt     1   0.916667   0.147727   94   9.65571
/home/lxf/Downloads/signal_area/4/marker_all_267.marker_color.txt     1   0.888889   0.340278   92   11.2732
/home/lxf/Downloads/signal_area/4/marker_all_386.marker_color.txt     1   0.75   0.458333   89   9.05758
/home/lxf/Downloads/signal_area/4/marker_all_431.marker_color.txt     1   0.625   0.5125   139   11.6116
/home/lxf/Downloads/signal_area/4/marker_all_567.marker_color.txt     0   0.761905   0.0877976   121   7.52817
/home/lxf/Downloads/signal_area/4/marker_all_590.marker_color.txt     1   0.733333   0.20303   86   10.1424
/home/lxf/Downloads/signal_area/5/marker_all_104.marker_color.txt     1   0.933333   0.161905   86   5.46643
/home/lxf/Downloads/signal_area/5/marker_all_215.marker_color.txt     1   0.647059   0.168449   114   7.20289
/home/lxf/Downloads/signal_area/5/marker_all_242.marker_color.txt     1   0.714286   0.5   90   9.76999
/home/lxf/Downloads/signal_area/5/marker_all_371.marker_color.txt     1   0.384615   0.446154   90   7.41834
/home/lxf/Downloads/signal_area/5/marker_all_423.marker_color.txt     1   0.928571   0.14011   105   8.70632
/home/lxf/Downloads/signal_area/5/marker_all_460.marker_color.txt     1   0.625   0.5125   139   11.6116
/home/lxf/Downloads/signal_area/5/marker_all_539.marker_color.txt     1   0.733333   0.212121   89   10.0047
/home/lxf/Downloads/signal_area/6/marker_all_241.marker_color.txt     1   0.9375   0.19375   98   13.3122
/home/lxf/Downloads/signal_area/6/marker_all_312.marker_color.txt     1   1   0.127219   80   8.73216
/home/lxf/Downloads/signal_area/6/marker_all_351.marker_color.txt     0   0.857143   0.0892857   93   12.0045
/home/lxf/Downloads/signal_area/6/marker_all_385.marker_color.txt     1   0.727273   0.329545   107   8.52831
/home/lxf/Downloads/signal_area/7/marker_all_163.marker_color.txt     1   0.916667   0.147727   94   9.65571
/home/lxf/Downloads/signal_area/7/marker_all_231.marker_color.txt     1   0.888889   0.340278   92   11.2732
/home/lxf/Downloads/signal_area/7/marker_all_282.marker_color.txt     1   0.384615   0.446154   90   7.41834
/home/lxf/Downloads/signal_area/7/marker_all_343.marker_color.txt     1   0.75   0.458333   89   9.05758
/home/lxf/Downloads/signal_area/7/marker_all_382.marker_color.txt     1   0.625   0.5125   139   11.6116
/home/lxf/Downloads/signal_area/7/marker_all_389.marker_color.txt     1   0.875   0.174107   95   11.6764
/home/lxf/Downloads/signal_area/7/marker_all_534.marker_color.txt     0   0.761905   0.0877976   121   7.52817
/home/lxf/Downloads/signal_area/7/marker_all_559.marker_color.txt     1   0.733333   0.20303   86   10.1424
/home/lxf/Downloads/signal_area/7/marker_all_562.marker_color.txt     1   0.8   0.2625   87   7.64195
/home/lxf/Downloads/signal_area/8/marker_all_268.marker_color.txt     1   0.777778   0.25   136   10.2545
/home/lxf/Downloads/signal_area/8/marker_all_357.marker_color.txt     1   0.785714   0.188312   80   15.7
/home/lxf/Downloads/signal_area/8/marker_all_367.marker_color.txt     0   0.923077   0.115385   95   14.9677
/home/lxf/Downloads/signal_area/9/marker_all_291.marker_color.txt     1   0.888889   0.225694   150   10.1248
/home/lxf/Downloads/signal_area/9/marker_all_384.marker_color.txt     1   0.466667   0.266667   80   17.1818
/home/lxf/Downloads/signal_area/9/marker_all_389.marker_color.txt     1   0.923077   0.246795   120   15.3765
/home/lxf/Downloads/signal_area/9/marker_all_392.marker_color.txt     0   0.8   0.30625   87   12.5354
