ImageName,   EnsembleNeuronTracerV2s,   EnsembleNeuronTracerV2n,   Advantra_updated,   MOST,   ENT_updated,  , 
E:\result1\080926a.tif.v3dpbd\gold\1198_1656_52_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1210_1848_44_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1223_1734_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1237_875_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1242_1067_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\124_1502_41_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1258_596_53_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1258_683_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1270_1656_53_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1279_980_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1284_1556_48_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1292_1172_52_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1297_1364_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1304_1865_51_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1314_491_46_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1316_788_48_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1318_892_51_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1320_1976_52_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1334_1462_56_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1359_1056_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1367_1347_57_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1376_1236_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1376_1654_52_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1389_1539_59_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1406_1465_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1410_1731_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1434_1044_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1437_852_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1450_1849_45_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1450_568_53_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1450_648_49_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1452_978_45_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1456_376_52_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1462_1657_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1462_456_52_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1484_1132_50_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1508_786_56_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1510_875_52_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1515_683_52_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1526_1424_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1551_1067_49_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1568_1232_51_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1568_1664_47_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1580_1141_41_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1581_1589_62_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1591_744_44_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1596_1781_45_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1598_1462_56_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1610_1397_46_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1616_1309_46_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1626_1028_47_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1629_852_55_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1642_598_53_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1645_1654_40_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1658_469_45_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1676_1128_53_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1700_763_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1702_872_50_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\173_1310_52_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1742_1407_49_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1743_1061_55_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1757_955_43_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1772_1147_47_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1783_763_42_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\178_799_40_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1790_1513_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1794_831_46_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1800_1215_53_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1808_1339_53_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1818_1023_50_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1825_571_41_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1850_448_43_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1862_640_46_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1868_1097_47_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1894_832_45_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\193_991_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1985_801_47_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\219_882_46_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\285_879_45_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\365_1292_45_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\411_865_57_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\477_864_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\525_1404_45_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\525_1596_44_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\531_1495_38_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\538_1788_39_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\561_1980_47_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\572_1687_38_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\591_1879_38_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\603_864_47_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\634_1800_41_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\666_1051_53_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\669_859_55_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\693_1633_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\699_790_44_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\709_1825_43_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\710_1243_44_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\711_982_55_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\716_667_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\717_1435_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\725_206_45_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\727_283_42_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\729_1755_46_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\732_1563_52_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\738_590_40_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\753_1936_40_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\763_1356_42_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\764_1663_52_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\768_1164_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\769_1066_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\787_1255_48_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\812_874_59_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\826_1761_47_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\850_682_44_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\858_1066_56_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\862_1450_51_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\871_1258_55_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\872_490_41_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\878_106_46_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\885_1642_52_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\887_298_39_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\891_796_41_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\907_874_41_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\909_604_45_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\924_1539_46_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\924_1834_51_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\924_963_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\945_1155_48_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\947_1451_42_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\955_1347_46_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\956_1642_51_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\969_398_48_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\975_1067_48_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\979_1259_42_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\980_206_37_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\987_875_52_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\996_1985_57_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\223_337_58_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\248_957_37_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\261_260_31_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\300_164_54_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\332_724_44_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\337_916_56_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\343_259_50_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\355_644_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\386_836_55_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\390_179_44_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\415_371_54_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\416_563_54_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\434_755_53_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\453_259_54_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\492_130_53_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\530_898_38_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\532_322_45_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\535_251_52_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\547_635_46_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\594_752_50_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\607_346_54_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\608_560_51_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\623_455_47_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\645_263_63_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\718_432_43_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\721_515_48_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\724_323_48_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\799_324_37_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\800_535_55_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\09-2902-04R-01C-60x_merge_c1.v3dpbd\gold\815_424_44_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1002_1501_59_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1015_276_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1032_541_63_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1034_1117_85_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1036_1044_74_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1039_1402_62_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1042_925_57_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1043_349_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1049_1693_60_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1049_733_57_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1059_1236_57_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1070_1501_56_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1076_1309_67_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1091_1594_62_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1100_803_51_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1105_611_56_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1108_995_53_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1114_1133_74_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1119_256_49_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1124_448_37_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1126_1693_60_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1143_1786_59_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1144_369_56_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1145_1304_53_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1165_1429_61_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1171_561_53_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1177_851_48_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1184_659_47_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1187_753_61_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1194_1536_62_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1202_945_63_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1213_1822_59_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1226_1137_59_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1228_1054_59_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1233_159_57_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1234_1893_62_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1235_351_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1235_451_60_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1236_1630_72_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1250_1246_62_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1250_1701_61_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1259_643_62_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1261_1438_56_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1268_1317_62_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1274_270_59_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1279_1509_59_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1286_920_62_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\091201c1.tif.v3dpbd\gold\1292_835_55_gold.tiff, 0, 0, 0, 0, 1,  , 
